Branch,Division,Delivery,Table,Take_Away,Total
Conut - Tyre,DRINK TYPE,0.00,0.00,0.00,0.00
Conut - Tyre,Delivery Service,19785405.14,0.00,0.00,13459459.28
Conut - Tyre,EXTRA CHIMNEY,536351.34,0.00,5125135.07,3851351.30
Conut - Tyre,EXTRA CONUT,0.00,0.00,2010324.28,1367567.54
Conut - Tyre,EXTRA DIP,357567.56,0.00,3218108.07,2432432.40
Conut - Tyre,EXTRA MINI SPREAD,0.00,0.00,357567.56,243243.24
Conut - Tyre,Extras and Sides,1907027.00,0.00,85339458.32,59351350.56
Conut - Tyre,FREE CHIMNEY TOP,417162.16,0.00,7926080.98,5675675.60
Conut - Tyre,FREE CONUT TOP,121837.83,0.00,14796675.31,10148648.40
Conut - Tyre,FREE MINI TOP,0.00,0.00,2800945.88,1905405.36
Conut - Tyre,Frappes,1072702.69,0.00,53997999.32,37463062.59
Conut - Tyre,Free Chimney Cake Spreads,59594.59,0.00,595945.94,445945.94
Conut - Tyre,Free Conut Spreads,0.00,0.00,121837.83,82882.88
Conut - Tyre,Hot and Cold Drinks,0.00,0.00,62018105.21,42189187.22
Conut - Tyre,Hot-Coffee Based,0.00,0.00,72108134.45,49053152.69
Conut - Tyre,ITEMS,175251811.06,0.00,4832136331.16,3406386491.31
Conut - Tyre,MARSHMALLOW OPTIONS,0.00,0.00,238378.38,162162.16
Conut - Tyre,MILK OPTIONS,0.00,0.00,0.00,0.00
Conut - Tyre,MINI/CONUT/BOWL,360216.21,0.00,5064216.12,3690090.02
Conut - Tyre,Shakes,4648378.40,0.00,49523108.23,36851351.45
Conut - Tyre,coffee type,0.00,0.00,0.00,0.00
Conut - Tyre,free dip,0.00,0.00,953513.50,648648.64
Conut - Tyre,free mini spread,0.00,0.00,121837.83,82882.88
Conut - Tyre,TOTAL,212801702.54,0.00,5293003837.36,3745445945.51
Conut Jnah,Bev Add-ons,0.00,5673405.29,0.00,3859459.38
Conut Jnah,CHIMNEY TOPPINGS,0.00,61144053.24,0.00,41594594.04
Conut Jnah,CONUT''S FAVORITE,0.00,34217891.79,0.00,23277477.41
Conut Jnah,Conuts,0.00,0.00,0.00,0.00
Conut Jnah,DRINK TYPE,0.00,0.00,0.00,0.00
Conut Jnah,Delivery Service,0.00,64362161.30,0.00,43783783.20
Conut Jnah,EXTRA CHIMNEY,0.00,7091756.66,0.00,4824324.26
Conut Jnah,EXTRA CONUT,0.00,2100378.34,0.00,1428828.80
Conut Jnah,EXTRA DIP,0.00,3098918.88,0.00,2108108.08
Conut Jnah,EXTRA MINI SPREAD,0.00,268837.83,0.00,182882.88
Conut Jnah,Extras and Sides,0.00,131584863.11,0.00,89513512.32
Conut Jnah,FREE CHIMNEY TOP,0.00,13825945.76,0.00,9405405.28
Conut Jnah,FREE CONUT TOP,0.00,13395540.23,0.00,9112612.40
Conut Jnah,FREE MINI TOP,0.00,3721351.28,0.00,2531531.48
Conut Jnah,Frappes,0.00,112376863.50,0.00,76446845.92
Conut Jnah,Free Chimney Cake Spreads,0.00,1251486.47,0.00,851351.34
Conut Jnah,Free Conut Spreads,0.00,60918.92,0.00,41441.44
Conut Jnah,Holder,0.00,0.00,0.00,0.00
Conut Jnah,Hot and Cold Drinks,0.00,244851662.58,0.00,166565756.86
Conut Jnah,Hot-Coffee Based,0.00,337104104.81,0.00,229322520.28
Conut Jnah,ITEMS,0.00,4501829977.88,0.00,3062469372.71
Conut Jnah,MARSHMALLOW OPTIONS,0.00,1787837.81,0.00,1216216.20
Conut Jnah,MILK OPTIONS,0.00,0.00,0.00,0.00
Conut Jnah,MINI/CONUT/BOWL,0.00,10324432.25,0.00,7023423.30
Conut Jnah,Shakes,0.00,138855405.79,0.00,94459459.72
Conut Jnah,coffee type,0.00,0.00,0.00,0.00
Conut Jnah,free dip,0.00,357567.56,0.00,243243.24
Conut Jnah,free mini spread,0.00,60918.92,0.00,41441.44
Conut Jnah,TOTAL,0.00,5689346280.21,0.00,3870303591.98
Main Street Coffee,Bev Add-ons,0.00,7225513.37,0.00,4915315.22
Main Street Coffee,CHIMNEY TOPPINGS,0.00,57151215.45,0.00,38878377.86
Main Street Coffee,CONUT''S FAVORITE,0.00,40643513.06,0.00,27648648.34
Main Street Coffee,Conuts,0.00,0.00,0.00,0.00
Main Street Coffee,DRINK TYPE,0.00,0.00,0.00,0.00
Main Street Coffee,Delivery Service,0.00,5005945.88,0.00,3405405.36
Main Street Coffee,EXTRA CHIMNEY,0.00,4112026.97,0.00,2797297.26
Main Street Coffee,EXTRA CONUT,0.00,2190432.39,0.00,1490090.06
Main Street Coffee,EXTRA DIP,0.00,3814054.00,0.00,2594594.56
Main Street Coffee,EXTRA MINI SPREAD,0.00,119189.19,0.00,81081.08
Main Street Coffee,Extras and Sides,0.00,80571890.82,0.00,54810810.08
Main Street Coffee,FREE CHIMNEY TOP,0.00,18176351.11,0.00,12364864.70
Main Street Coffee,FREE CONUT TOP,0.00,38098161.52,0.00,25917116.68
Main Street Coffee,FREE MINI TOP,0.00,8977594.47,0.00,6107207.12
Main Street Coffee,Frappes,0.00,31650026.66,0.00,21530630.38
Main Street Coffee,Free Chimney Cake Spreads,0.00,238378.38,0.00,162162.16
Main Street Coffee,Free Conut Spreads,0.00,91378.38,0.00,62162.16
Main Street Coffee,Hot and Cold Drinks,0.00,125289021.82,0.00,85230627.09
Main Street Coffee,Hot-Coffee Based,0.00,245201294.65,0.00,166803601.80
Main Street Coffee,ITEMS,0.00,4551892085.15,0.00,3096525227.99
Main Street Coffee,MARSHMALLOW OPTIONS,0.00,2145405.38,0.00,1459459.44
Main Street Coffee,MILK OPTIONS,0.00,0.00,0.00,0.00
Main Street Coffee,MINI/CONUT/BOWL,0.00,18013459.14,0.00,12254053.84
Main Street Coffee,Shakes,0.00,71394324.45,0.00,48567567.65
Main Street Coffee,coffee type,0.00,0.00,0.00,0.00
Main Street Coffee,free dip,0.00,119189.19,0.00,81081.08
Main Street Coffee,free mini spread,0.00,60918.92,0.00,41441.44
Main Street Coffee,TOTAL,0.00,5312181370.32,0.00,3613728823.35
