Branch,Customer_Name,Row_Type,Qty,Description,Price
Conut - Tyre,Person_0133,ITEM,-1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0133,ITEM,-1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0133,ITEM,-1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0133,ITEM,-1.0,PRESSED,0.00
Conut - Tyre,Person_0133,ITEM,-1.0,PRESSED,0.00
Conut - Tyre,Person_0133,ITEM,1.0,PRESSED,0.00
Conut - Tyre,Person_0133,ITEM,1.0,PRESSED,0.00
Conut - Tyre,Person_0133,ITEM,1.0,  STRAWBERRY,(R)
Conut - Tyre,Person_0133,ITEM,1.0,  STRAWBERRY,(R)
Conut - Tyre,Person_0133,ITEM,-1.0,  STRAWBERRY,(R)
Conut - Tyre,Person_0133,ITEM,-1.0,  STRAWBERRY,(R)
Conut - Tyre,Person_0133,ITEM,-1.0,  WHIPPED CREAM,0.00
Conut - Tyre,Person_0133,ITEM,1.0,  WHIPPED CREAM,0.00
Conut - Tyre,Person_0133,ITEM,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0133,ITEM,-1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0133,TOTAL,0.0,,0.00
Conut - Tyre,Person_0134,ITEM,1.0,DELIVERY CHARGE,238
Conut - Tyre,Person_0134,ITEM,1.0,MINI BERRY MIX,507
Conut - Tyre,Person_0134,ITEM,1.0,MINI PISTACHIO,626
Conut - Tyre,Person_0134,ITEM,1.0,  NO SPREAD,.
Conut - Tyre,Person_0134,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut - Tyre,Person_0134,ITEM,1.0,NUTELLA SPREAD MINI.,0.00
Conut - Tyre,Person_0134,ITEM,1.0,PISTACHIO TOPPING.,0.00
Conut - Tyre,Person_0134,ITEM,1.0,STRAWBERRY .(R),0.00
Conut - Tyre,Person_0134,ITEM,1.0,WHIPPED CREAM  .,0.00
Conut - Tyre,Person_0134,TOTAL,9.0,,1
Conut - Tyre,Person_0135,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut - Tyre,Person_0135,ITEM,1.0,CHIMNEY THE ONE,1
Conut - Tyre,Person_0135,ITEM,1.0,DELIVERY CHARGE,238
Conut - Tyre,Person_0135,ITEM,1.0,NUTELLA SAUCE.,178
Conut - Tyre,Person_0135,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0135,ITEM,1.0,  STRAWBERRY,(R)
Conut - Tyre,Person_0135,TOTAL,6.0,,1
Conut - Tyre,Person_0136,ITEM,1.0,WATER,79
Conut - Tyre,Person_0136,TOTAL,1.0,,79
Conut - Tyre,Person_0137,ITEM,1.0,CRISPY CREPE . (R),0.00
Conut - Tyre,Person_0137,ITEM,1.0,  CRUSHED LOTUS,(R)
Conut - Tyre,Person_0137,ITEM,1.0,  CRUSHED OREO,(R)
Conut - Tyre,Person_0137,ITEM,1.0,ICE CREAM BOWL,595
Conut - Tyre,Person_0137,TOTAL,4.0,,595
Conut Jnah,Person_0017,ITEM,1.0,BROWNIES . (R),0.00
Conut Jnah,Person_0017,ITEM,1.0,CHIMNEY TRIPLE CHOCOLATE,1
Conut Jnah,Person_0017,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0017,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut Jnah,Person_0017,ITEM,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0017,TOTAL,5.0,,1
Conut Jnah,Person_0018,ITEM,1.0,BOSTON CHEESECAKE MINI,0.00
Conut Jnah,Person_0018,ITEM,-1.0,BOSTON CHEESECAKE MINI,0.00
Conut Jnah,Person_0018,ITEM,-1.0,DELIVERY CHARGE,-238
Conut Jnah,Person_0018,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0018,ITEM,1.0,PISTACHIO MINI,0.00
Conut Jnah,Person_0018,ITEM,-1.0,PISTACHIO MINI,0.00
Conut Jnah,Person_0018,ITEM,-1.0,THE ONE MINI,0.00
Conut Jnah,Person_0018,ITEM,1.0,THE ONE MINI,0.00
Conut Jnah,Person_0018,ITEM,1.0,THE SHARING BOX.,1
Conut Jnah,Person_0018,ITEM,-1.0,THE SHARING BOX.,-1
Conut Jnah,Person_0018,ITEM,-1.0,TRIPLE CHOCOLATE MINI,0.00
Conut Jnah,Person_0018,ITEM,1.0,TRIPLE CHOCOLATE MINI,0.00
Conut Jnah,Person_0018,TOTAL,0.0,,0.00
Conut Jnah,Person_0019,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0019,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0019,ITEM,1.0,CLASSIC CHIMNEY,595
Conut Jnah,Person_0019,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0019,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0019,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0019,ITEM,1.0,PRESSED,0.00
Conut Jnah,Person_0019,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0019,TOTAL,8.0,,2
Conut Jnah,Person_0020,ITEM,1.0,ADD ICE CREAM,476
Conut Jnah,Person_0020,ITEM,1.0,CHIMNEY BERRY MIX,1
Conut Jnah,Person_0020,ITEM,1.0,CHIMNEY BOSTON CHEESECAKE,1
Conut Jnah,Person_0020,ITEM,1.0,CRUSHED LOTUS .(R),0.00
Conut Jnah,Person_0020,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0020,ITEM,1.0,ICE CREAM ON THE SIDE,0.00
Conut Jnah,Person_0020,ITEM,1.0,  NO SPREAD,0.00
Conut Jnah,Person_0020,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut Jnah,Person_0020,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0020,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0020,ITEM,1.0,  WHIPPED CREAM,0.00
Conut Jnah,Person_0020,TOTAL,11.0,,3
Conut Jnah,Person_0021,ITEM,1.0,BROWNIES . (R),0.00
Conut Jnah,Person_0021,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0021,ITEM,1.0,CHIMNEY TRIPLE CHOCOLATE,1
Conut Jnah,Person_0021,ITEM,1.0,CONUT BITES,655
Conut Jnah,Person_0021,ITEM,1.0,CONUT BITES,655
Conut Jnah,Person_0021,ITEM,1.0,DARK CHOCOLATE DIP.(R),0.00
Conut Jnah,Person_0021,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0021,ITEM,1.0,LOTUS DIP.(R),0.00
Conut Jnah,Person_0021,ITEM,1.0,NO SPREAD,0.00
Conut Jnah,Person_0021,ITEM,1.0,NO TOPPINGS,0.00
Conut Jnah,Person_0021,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut Jnah,Person_0021,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0021,ITEM,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0021,TOTAL,13.0,,4
Conut Jnah,Person_0022,ITEM,1.0,  BROWNIES,(R)
Conut Jnah,Person_0022,ITEM,1.0,CHIMNEY BERRY MIX,1
Conut Jnah,Person_0022,ITEM,1.0,CONUT THE ONE,893
Conut Jnah,Person_0022,ITEM,1.0,CONUT TRIPLE CHOCOLATE,924
Conut Jnah,Person_0022,ITEM,1.0,  CRUSHED LOTUS,(R)
Conut Jnah,Person_0022,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0022,ITEM,1.0,NUTELLA SAUCE . (R),0.00
Conut Jnah,Person_0022,ITEM,1.0,NUTELLA SAUCE . (R),0.00
Conut Jnah,Person_0022,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut Jnah,Person_0022,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0022,ITEM,1.0,NUTELLA SPREAD CONUT.,0.00
Conut Jnah,Person_0022,ITEM,1.0,  WHIPPED CREAM,0.00
Conut Jnah,Person_0022,ITEM,1.0,WHITE CHOCOLATE SPREAD CONUT.,0.00
Conut Jnah,Person_0022,TOTAL,13.0,,3
Conut Jnah,Person_0023,ITEM,1.0,BROWNIES . (R),0.00
Conut Jnah,Person_0023,ITEM,1.0,BROWNIES . (R),0.00
Conut Jnah,Person_0023,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0023,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0023,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0023,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0023,ITEM,1.0,  LOTUS SAUCE,(R)
Conut Jnah,Person_0023,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0023,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0023,ITEM,1.0,STRAWBERRY.,178
Conut Jnah,Person_0023,TOTAL,10.0,,2
Conut Jnah,Person_0024,ITEM,1.0,BROWNIES . (R),0.00
Conut Jnah,Person_0024,ITEM,1.0,CHIMNEY TRIPLE CHOCOLATE,1
Conut Jnah,Person_0024,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0024,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut Jnah,Person_0024,ITEM,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0024,TOTAL,5.0,,1
Conut Jnah,Person_0025,ITEM,1.0,CLASSIC CHIMNEY,595
Conut Jnah,Person_0025,ITEM,1.0,CLASSIC CHIMNEY,595
Conut Jnah,Person_0025,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0025,ITEM,1.0,REGULAR,0.00
Conut Jnah,Person_0025,ITEM,1.0,REGULAR,0.00
Conut Jnah,Person_0025,ITEM,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0025,ITEM,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0025,TOTAL,7.0,,1
Conut Jnah,Person_0026,ITEM,1.0,BOSTON CHEESECAKE MINI,0.00
Conut Jnah,Person_0026,ITEM,1.0,BROWNIES . (R),0.00
Conut Jnah,Person_0026,ITEM,1.0,BROWNIES . (R),0.00
Conut Jnah,Person_0026,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0026,ITEM,1.0,CHIMNEY TRIPLE CHOCOLATE,1
Conut Jnah,Person_0026,ITEM,1.0,CRUSHED OREO .(R),0.00
Conut Jnah,Person_0026,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0026,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0026,ITEM,1.0,NO SPREAD,0.00
Conut Jnah,Person_0026,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut Jnah,Person_0026,ITEM,1.0,NUTELLA SAUCE.,178
Conut Jnah,Person_0026,ITEM,1.0,PISTACHIO MINI,0.00
Conut Jnah,Person_0026,ITEM,1.0,STRAWBERRY.,178
Conut Jnah,Person_0026,ITEM,1.0,THE ONE MINI,0.00
Conut Jnah,Person_0026,ITEM,1.0,THE SHARING BOX.,1
Conut Jnah,Person_0026,ITEM,1.0,TRIPLE CHOCOLATE MINI,0.00
Conut Jnah,Person_0026,ITEM,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0026,TOTAL,17.0,,5
Conut Jnah,Person_0027,ITEM,1.0,CONUT BERRY MIX,893
Conut Jnah,Person_0027,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0027,ITEM,1.0,NUTELLA SAUCE . (R),0.00
Conut Jnah,Person_0027,ITEM,1.0,NUTELLA SPREAD CONUT.,0.00
Conut Jnah,Person_0027,ITEM,1.0,  WHIPPED CREAM,0.00
Conut Jnah,Person_0027,TOTAL,5.0,,1
Conut Jnah,Person_0028,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0028,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0028,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0028,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0028,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0028,TOTAL,5.0,,1
Conut Jnah,Person_0029,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0029,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0029,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0029,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0029,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0029,TOTAL,5.0,,1
Conut Jnah,Person_0030,ITEM,1.0,BROWNIES . (R),0.00
Conut Jnah,Person_0030,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0030,ITEM,1.0,CHIMNEY THE ORIGINAL,1
Conut Jnah,Person_0030,ITEM,1.0,CONUT BERRY MIX,893
Conut Jnah,Person_0030,ITEM,1.0,CONUT THE ONE,893
Conut Jnah,Person_0030,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0030,ITEM,1.0,ICE CREAM ON THE SIDE,0.00
Conut Jnah,Person_0030,ITEM,1.0,NUTELLA SAUCE . (R),0.00
Conut Jnah,Person_0030,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut Jnah,Person_0030,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0030,ITEM,1.0,NUTELLA SPREAD CONUT.,0.00
Conut Jnah,Person_0030,ITEM,1.0,NUTELLA SPREAD CONUT.,0.00
Conut Jnah,Person_0030,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0030,ITEM,1.0,  WHIPPED CREAM,0.00
Conut Jnah,Person_0030,TOTAL,14.0,,3
Conut Jnah,Person_0031,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0031,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0031,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0031,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0031,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0031,ITEM,1.0,LOTUS SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0031,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0031,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0031,ITEM,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0031,TOTAL,9.0,,2
Conut Jnah,Person_0032,ITEM,1.0,BROWNIES . (R),0.00
Conut Jnah,Person_0032,ITEM,1.0,CHIMNEY BOSTON CHEESECAKE,1
Conut Jnah,Person_0032,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0032,ITEM,1.0,CHIMNEY THE ORIGINAL,1
Conut Jnah,Person_0032,ITEM,1.0,CRUSHED LOTUS .(R),0.00
Conut Jnah,Person_0032,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0032,ITEM,1.0,ICE CREAM ON THE SIDE,0.00
Conut Jnah,Person_0032,ITEM,1.0,  NO SPREAD,0.00
Conut Jnah,Person_0032,ITEM,1.0,NO TOPPINGS,0.00
Conut Jnah,Person_0032,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut Jnah,Person_0032,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0032,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0032,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0032,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0032,TOTAL,14.0,,3
Conut Jnah,Person_0033,ITEM,1.0,CHIMNEY BERRY MIX,1
Conut Jnah,Person_0033,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0033,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut Jnah,Person_0033,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0033,ITEM,1.0,  WHIPPED CREAM,0.00
Conut Jnah,Person_0033,TOTAL,5.0,,1
Conut Jnah,Person_0034,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0034,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0034,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0034,ITEM,1.0,LOTUS SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0034,ITEM,1.0,NO TOPPINGS,0.00
Conut Jnah,Person_0034,ITEM,1.0,NO TOPPINGS,0.00
Conut Jnah,Person_0034,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0034,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0034,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0034,TOTAL,9.0,,2
Conut Jnah,Person_0035,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0035,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0035,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0035,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0035,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0035,TOTAL,5.0,,1
Conut Jnah,Person_0036,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0036,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0036,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0036,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0036,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0036,TOTAL,5.0,,1
Conut Jnah,Person_0037,ITEM,1.0,BOSTON CHEESECAKE CONUT,0.00
Conut Jnah,Person_0037,ITEM,1.0,  BROWNIES,(R)
Conut Jnah,Person_0037,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0037,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0037,ITEM,1.0,CONUT COMBO,2
Conut Jnah,Person_0037,ITEM,1.0,CONUT THE ONE,893
Conut Jnah,Person_0037,ITEM,1.0,CONUT THE ONE,893
Conut Jnah,Person_0037,ITEM,1.0,CONUT TRIPLE CHOCOLATE,924
Conut Jnah,Person_0037,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0037,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0037,ITEM,1.0,NUTELLA SAUCE . (R),0.00
Conut Jnah,Person_0037,ITEM,1.0,NUTELLA SPREAD CONUT.,0.00
Conut Jnah,Person_0037,ITEM,1.0,NUTELLA SPREAD CONUT.,0.00
Conut Jnah,Person_0037,ITEM,1.0,PISTACHIO CONUT,0.00
Conut Jnah,Person_0037,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0037,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0037,ITEM,1.0,THE ONE CONUT,0.00
Conut Jnah,Person_0037,ITEM,1.0,TRIPLE CHOCOLATE CONUT,0.00
Conut Jnah,Person_0037,ITEM,1.0,WHITE CHOCOLATE SPREAD CONUT.,0.00
Conut Jnah,Person_0037,TOTAL,19.0,,5
Conut Jnah,Person_0038,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0038,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0038,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0038,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0038,ITEM,1.0,  STRAWBERRY,(R)
Conut Jnah,Person_0038,TOTAL,5.0,,1
Conut Jnah,Person_0028,ITEM,1.0,CLASSIC CHIMNEY,595
Conut Jnah,Person_0028,ITEM,1.0,CLASSIC CHIMNEY,595
Conut Jnah,Person_0028,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0028,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0028,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut Jnah,Person_0028,ITEM,1.0,PRESSED,0.00
Conut Jnah,Person_0028,ITEM,1.0,PRESSED,0.00
Conut Jnah,Person_0028,TOTAL,7.0,,1
Conut Jnah,Person_0039,ITEM,1.0,CAFFE LATTE,417
Conut Jnah,Person_0039,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0039,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut Jnah,Person_0039,ITEM,1.0,CHIMNEY THE ONE,1
Conut Jnah,Person_0039,ITEM,1.0,DELIVERY CHARGE,238
Conut Jnah,Person_0039,ITEM,1.0,FULL FAT MILK,0.00
Conut Jnah,Person_0039,ITEM,1.0,HOT,0.00
