Branch,Division,Group,Description,Qty,Total_Amount
Conut - Tyre,Shakes,Shakes,FRUIT LOOPS MILKSHAKE,1.0,774
Conut - Tyre,Shakes,Shakes,TOFFEE NUT MILKSHAKE,1.0,774
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,WATER,473.0,37
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,BALKIS LEMONADE,1.0,238
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,MANGO PASSION,10.0,4
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,MELON PASSION,3.0,1
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES,3.0,1
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES PASSION,3.0,1
Conut - Tyre,Hot and Cold Drinks,TEA FLAVORS,PEACH ICED TEA,29.0,12
Conut - Tyre,Hot and Cold Drinks,TEA FLAVORS,RASPBERRY ICED TEA,10.0,4
Conut - Tyre,Conuts,Conuts,NO CINNAMON,9.0,0.00
Conut - Tyre,Extras and Sides,Extras and Sides,ADD ICE CREAM,183.0,87
Conut - Tyre,Delivery Service,Delivery,DELIVERY CHARGE,83.0,19
Conut - Tyre,Delivery Service,Delivery,SEND CUTLERY,2.0,0.00
Conut - Tyre,Delivery Service,Delivery,DONT SEND CUTLERY,3.0,0.00
Conut - Tyre,Delivery Service,Delivery,TAKE AWAY,20.0,0.00
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,NUTELLA SPREAD CONUT.,1271.0,0.00
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,LOTUS SPREAD CONUT.,17.0,0.00
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,WHITE CHOCOLATE SPREAD CONUT.,399.0,0.00
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,[NO SPREAD],1.0,0.00
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,PISTACHIO SPREAD CONUT.,4.0,121
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,NO SPREAD.,18.0,0.00
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NUTELLA SPREAD CHIMNEY.,1080.0,0.00
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,LOTUS SPREAD CHIMNEY.,43.0,0.00
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,WHITE CHOCOLATE SPREAD CHIMNEY.,222.0,0.00
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,PISTACHIO SPREAD CHIMNEY.,11.0,655
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NO SPREAD,32.0,0.00
Conut - Tyre,ITEMS,ITEMS,CLASSIC CHIMNEY,301.0,179
Conut - Tyre,ITEMS,ITEMS,MINI THE ONE,254.0,128
Conut - Tyre,ITEMS,ITEMS,MINI THE ORIGINAL,184.0,87
Conut - Tyre,ITEMS,ITEMS,CONUT THE ORIGINAL,380.0,328
Conut - Tyre,ITEMS,ITEMS,CHIMNEY THE ORIGINAL,140.0,166
Conut - Tyre,ITEMS,ITEMS,CONUT THE ONE,680.0,607
Conut - Tyre,ITEMS,ITEMS,CHIMNEY THE ONE,635.0,794
Conut - Tyre,ITEMS,ITEMS,MINI PISTACHIO,134.0,83
Conut - Tyre,ITEMS,ITEMS,CONUT PISTACHIO,326.0,330
Conut - Tyre,ITEMS,ITEMS,CHIMNEY PISTACHIO,227.0,324
Conut - Tyre,ITEMS,ITEMS,MINI BOSTON CHEESECAKE,61.0,32
Conut - Tyre,ITEMS,ITEMS,CONUT BOSTON CHEESECAKE,121.0,111
Conut - Tyre,ITEMS,ITEMS,CHIMNEY BOSTON CHEESECAKE,60.0,78
Conut - Tyre,ITEMS,ITEMS,MINI BERRY MIX,102.0,51
Conut - Tyre,ITEMS,ITEMS,CONUT BERRY MIX,228.0,203
Conut - Tyre,ITEMS,ITEMS,CHIMNEY BERRY MIX,86.0,107
Conut - Tyre,ITEMS,ITEMS,ICE CREAM BOWL,266.0,158
Conut - Tyre,ITEMS,ITEMS,CONUT BITES,114.0,74
Conut - Tyre,ITEMS,ITEMS,CINNAMON SUGAR RINGS,22.0,9
Conut - Tyre,ITEMS,ITEMS,CHOCOLATE CHIPS RINGS,5.0,2
Conut - Tyre,ITEMS,ITEMS,CONUT TRIPLE CHOCOLATE,422.0,390
Conut - Tyre,ITEMS,ITEMS,MINI TRIPLE CHOCOLATE,169.0,90
Conut - Tyre,ITEMS,ITEMS,CHIMNEY TRIPLE CHOCOLATE,225.0,294
Conut - Tyre,ITEMS,ITEMS,CHIMNEY COMBO.,18.0,70
Conut - Tyre,ITEMS,ITEMS,CONUT COMBO,33.0,90
Conut - Tyre,ITEMS,ITEMS,THE SHARING BOX.,66.0,110
Conut - Tyre,ITEMS,ITEMS,THE ONE CONUT,33.0,0.00
Conut - Tyre,ITEMS,ITEMS,THE ONE MINI,66.0,0.00
Conut - Tyre,ITEMS,ITEMS,THE ONE CHIMNEY,18.0,0.00
Conut - Tyre,ITEMS,ITEMS,PISTACHIO CONUT,33.0,0.00
Conut - Tyre,ITEMS,ITEMS,PISTACHIO MINI,66.0,0.00
Conut - Tyre,ITEMS,ITEMS,PISTACHIO CHIMNEY,18.0,0.00
Conut - Tyre,ITEMS,ITEMS,TRIPLE CHOCOLATE CONUT,33.0,0.00
Conut - Tyre,ITEMS,ITEMS,TRIPLE CHOCOLATE MINI,66.0,0.00
Conut - Tyre,ITEMS,ITEMS,TRIPLE CHOCOLATE CHIMNEY,18.0,0.00
Conut - Tyre,ITEMS,ITEMS,BOSTON CHEESECAKE CONUT,33.0,0.00
Conut - Tyre,ITEMS,ITEMS,BOSTON CHEESECAKE MINI,66.0,0.00
Conut - Tyre,ITEMS,ITEMS,BOSTON CHEESECAKE CHIMNEY,18.0,0.00
Conut - Tyre,ITEMS,ITEMS,TIRAMISU MINI CONUT,14.0,8
Conut - Tyre,ITEMS,ITEMS,TIRAMISU CONUT,33.0,31
Conut - Tyre,ITEMS,ITEMS,TIRAMISU CHIMNEY,43.0,56
Conut - Tyre,EXTRA MINI SPREAD,EXTRA MINI SPREAD,NUTELLA SPREAD MINI,6.0,357
Conut - Tyre,EXTRA MINI SPREAD,EXTRA MINI SPREAD,NO SPREAD,.,129.0
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NUTELLA SPREAD CONUT,16.0,1
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,LOTUS SPREAD CONUT,3.0,270
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,WHITE CHOCOLATE SPREAD CONUT,2.0,180
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,PISTACHIO SPREAD CONUT,1.0,119
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NO SPREAD..,427.0,0.00
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,NUTELLA SPREAD CHIMNEY,16.0,2
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,LOTUS SPREAD CHIMNEY,11.0,1
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,WHITE CHOCOLATE SPREAD CHIMNEY,2.0,357
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,PISTACHIO SPREAD CHIMNEY,2.0,476
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,NO SPREAD,271.0,0.00
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRUSHED OREO (R),1.0,90
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BROWNIES (R),8.0,720
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRISPY CREPE (R),1.0,90
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,STRAWBERRIES (R),17.0,1
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BLUEBERRIES (P),2.0,238
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,RASPBERRIES (P),3.0,357
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SPRINKLES (R),4.0,360
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,DARK CHOCOLATE SAUCE (R),1.0,90
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CARAMEL SAUCE (R),1.0,90
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,PASSION FRUIT SAUCE (P),2.0,238
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SALTED CARAMEL SAUCE (R),1.0,90
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,NUTELLA SAUCE (R),3.0,270
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,PISTACHIO SAUCE (P),1.0,119
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,WHITE CHOCOLATE SAUCE,(R),1.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,LOTUS SAUCE (R),1.0,90
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,FRUIT LOOPS (R),1.0,90
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CHERRY JAM (P),2.0,238
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,GUMMY BEARS (R),1.0,90
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,MARSHMALLOWS (R),6.0,540
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED OREO.,30.0,5
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED LOTUS.,14.0,2
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRISPY CREPE.,4.0,715
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BROWNIES.,36.0,6
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,STRAWBERRY.,168.0,30
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SPRINKLES.,8.0,1
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BLUEBERRIES.,43.0,10
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRIES.,15.0,3
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PEANUT BUTTER CUPS.,2.0,476
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE SAUCE.,9.0,1
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,NUTELLA SAUCE.,65.0,11
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,LOTUS SAUCE.,19.0,3
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,WHIPPED  CREAM.,8.0,1
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CARAMEL SAUCE.,4.0,715
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PISTACHIO SAUCE.,25.0,5
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE CHIPS.,8.0,1
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,FRUIT LOOPS.,5.0,893
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GRANOLA BERRIES.,2.0,476
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRY JAM.,1.0,238
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CHERRY JAM.,1.0,238
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GUMMY BEARS.,16.0,2
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,MARSHMALLOWS.,29.0,5
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SALTED PRETZELS.,2.0,357
Conut - Tyre,EXTRA DIP,EXTRA DIP,NUTELLA DIP (R),6.0,715
Conut - Tyre,EXTRA DIP,EXTRA DIP,LOTUS DIP (R),1.0,119
Conut - Tyre,EXTRA DIP,EXTRA DIP,WHITE CHOCOLATE DIP (R),2.0,238
Conut - Tyre,EXTRA DIP,EXTRA DIP,CARAMEL DIP (R),2.0,238
Conut - Tyre,EXTRA DIP,EXTRA DIP,DARK CHOCOLATE DIP (R),3.0,357
Conut - Tyre,EXTRA DIP,EXTRA DIP,PISTACHIO DIP (P),5.0,1
Conut - Tyre,EXTRA DIP,EXTRA DIP,RASPBERRY JAM DIP (P),1.0,238
Conut - Tyre,EXTRA DIP,EXTRA DIP,CHERRY JAM DIP (P),2.0,476
Conut - Tyre,free mini spread,FREE MINI SPREAD,NUTELLA SPREAD MINI.,526.0,0.00
Conut - Tyre,free mini spread,FREE MINI SPREAD,LOTUS SPREAD MINI.,8.0,0.00
Conut - Tyre,free mini spread,FREE MINI SPREAD,WHITE CHOCOLATE SPREAD MINI.,158.0,0.00
Conut - Tyre,free mini spread,FREE MINI SPREAD,PISTACHIO SPREAD MINI.,4.0,121
Conut - Tyre,free mini spread,FREE MINI SPREAD,NO SPREAD .,85.0,0.00
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,STRAWBERRY,(R),1221.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,BLUEBERRIES,(P),58.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,CRUSHED OREO,(R),46.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,CRUSHED LOTUS,(R),167.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,SPRINKLES,(R),55.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,BROWNIES,(R),824.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,SALTED CARAMEL SAUCE . (R),1.0,0.00
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,WHIPPED CREAM . (P),8.0,243
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,LOTUS SAUCE,(R),47.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,WHITE CHOCOLATE SAUCE,(R),6.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,CARAMEL SAUCE,(R),586.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,NO TOPPINGS.,75.0,0.00
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,RASPBERRIES,(P),15.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,DARK CHOCOLATE CHIPS,(P),25.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,GRANOLA BERRIES,(P),22.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,PEANUT BUTTER CUP,(P),4.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO SAUCE . (P),95.0,2
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,PASSION FRUITS SAUCE,(P),9.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,RASPBERRY JAM,(P),13.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,CHERRY JAM,(P),6.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,GUMMY BEARS . (R),46.0,0.00
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,MARSHMALLOWS,(R),68.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,CRISPY CREPE . (R),16.0,0.00
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,SALTED PRETZELS,(R),1.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,NUTELLA SAUCE . (R),1216.0,0.00
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,DARK CHOCOLATE SAUCE,(R),4.0
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,FRUIT LOOPS . (R),15.0,0.00
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,WHIPPED CREAM,175.0,0.00
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,SWITCH TO ICE CREAM,20.0,7
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO TOPPING,266.0,0.00
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,STRAWBERRY,(R),869.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,BROWNIES . (R),370.0,0.00
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED OREO .(R),16.0,0.00
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED LOTUS .(R),54.0,0.00
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SPRINKLES .(R),6.0,0.00
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,NUTELLA SAUCE,(R),577.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,LOTUS SAUCE,(R),16.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHITE CHOCOLATE SAUCE .(R),11.0,0.00
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CARAMEL SAUCE,(R),432.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,NO TOPPINGS,30.0,0.00
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,BLUEBERRIES,(P),27.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,RASPBERRIES,(P),4.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,DARK CHOCOLATE CHIPS,(P),7.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,GRANOLA BERRIES,(P),1.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHIPPED CREAM,3.0,178
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,PISTACHIO SAUCE,(P),63.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,PASSION FRUIT SAUCE,(P),1.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,RASPBERRY JAM,(P),4.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CHERRY JAM,(P),2.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,GUMMY BEARS,(R),3.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,MARSHMALLOWS,(R),10.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRISPY CREPE,(R),2.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,DARK CHOCOLATE SAUCE,(R),7.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,FRUIT LOOPS,(R),1.0
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHIPPED CREAM,70.0,0.00
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SWITCH TO ICE CREAM,7.0,1
Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,PISTACHIO TOPPING,155.0,0.00
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,NUTELLA SAUCE,(R),444.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,BLUEBERRIES .(P),9.0,243
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,RASPBERRIES .(P),2.0,60
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,DARK CHOCOLATE CHIPS .(P),7.0,213
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,GRANOLA BERRIES .(P),0.0,0.00
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,WHIPPED CREAM,(P),1.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,PISTACHIO SAUCE,(P),27.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,CHERRY JAM .(P),2.0,30
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,GUMMY BEARS,(R),8.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,MARSHMALLOWS .(R),15.0,0.00
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,CRISPY CREPE,(R),2.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,SALTED PRETZELS,(R),1.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,STRAWBERRY .(R),465.0,0.00
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,BROWNIES,(R),310.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,CRUSHED OREO,(R),13.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,CRUSHED LOTUS,(R),72.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,SPRINKLES,(R),11.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,LOTUS SAUCE .(R),12.0,0.00
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,CARAMEL SAUCE,(R),200.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,DARK CHOCOLATE SAUCE .(R),1.0,0.00
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,FRUIT LOOPS,(R),2.0
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,NO TOPPINGS,29.0,0.00
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,WHIPPED CREAM  .,85.0,0.00
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,switch to ice cream.,4.0,1
Conut - Tyre,FREE MINI TOP,FREE MINI TOP,PISTACHIO TOPPING.,109.0,0.00
Conut - Tyre,free dip,free dip,NUTELLA DIP.(R),100.0,0.00
Conut - Tyre,free dip,free dip,LOTUS DIP.(R),7.0,0.00
Conut - Tyre,free dip,free dip,WHITE CHOCOLATE DIP.(R),6.0,0.00
Conut - Tyre,free dip,free dip,CARAMEL DIP.(R),6.0,0.00
Conut - Tyre,free dip,free dip,SALTED CARAMEL DIP.(R),6.0,0.00
Conut - Tyre,free dip,free dip,DARK CHOCOLATE DIP.(R),7.0,0.00
Conut - Tyre,free dip,free dip,NO DIP,1.0,0.00
Conut - Tyre,free dip,free dip,CHERRY JAM DIP.(P),3.0,357
Conut - Tyre,free dip,free dip,PISTACHIO DIP.(P),3.0,357
Conut - Tyre,free dip,free dip,PASSION FRUITS DIP.(P),2.0,238
Conut - Tyre,coffee type,coffee type,DECAF,19.0,0.00
Conut - Tyre,coffee type,coffee type,REGULAR.,240.0,0.00
Conut - Tyre,DRINK TYPE,DRINK TYPE,HOT,142.0,0.00
Conut - Tyre,DRINK TYPE,DRINK TYPE,ICED,19.0,0.00
